time,velocity,angle,resistance_raw,pvdf_mv
0.0,8.0,0.0,4976.0,0.622
0.39202790000126697,8.0,0.0,5439.0,0.679875
0.41466270000091754,8.0,1.606387,4458.0,0.55725
0.494160300004296,8.0,6.068572,3734.0,0.46675
0.521872400000575,8.0,12.25613,4784.0,0.598
0.6605811000044923,8.0,19.33613,3944.0,0.493
0.7829477000050247,8.0,26.71361,2802.0,0.35025
0.914695200001006,8.0,33.9721,3005.0,0.375625
1.0655212999990908,8.0,40.75462,2595.0,0.324375
1.2326819000008982,8.0,0.0,2759.0,0.344875
1.3669960999977775,8.0,42.28308,5664.0,0.708
1.5153431000071578,8.0,37.6945,7187.0,0.898375
1.6859504000021843,8.0,30.99276,6236.0,0.7795
1.820619899997837,8.0,24.23064,7325.0,0.915625
1.967753699995228,8.0,16.44214,5491.0,0.686375
2.1176156000001356,8.0,8.17062,5869.0,0.733625
2.2688000000052853,8.0,0.0,4728.0,0.591
2.4594982999988133,8.0,0.0,4615.0,0.576875
2.5687922000070103,8.0,1.963361,3896.0,0.487
2.718285399998422,8.0,6.128067,4083.0,0.510375
2.8686512999993283,8.0,12.31563,4762.0,0.59525
3.019469200007734,8.0,19.21714,3296.0,0.412
3.1686361000029137,8.0,26.35664,2903.0,0.362875
3.319986400005291,8.0,34.09109,2283.0,0.285375
3.4914910000079544,8.0,41.58756,2832.0,0.354
3.6306750000076136,8.0,0.0,2612.0,0.3265
3.77031020000868,8.0,42.58496,5478.0,0.68475
3.920551700008218,8.0,38.11713,7103.0,0.887875
4.071078299995861,8.0,31.59652,6231.0,0.7788751
4.260181000005105,8.0,24.47215,7037.0,0.879625
4.371249899995746,8.0,16.26101,5272.0,0.659
4.523609700001543,8.0,8.77438,5658.0,0.7072501
4.671185800005333,8.0,0.9254951,5598.0,0.69975
4.82664840000507,8.0,0.0,5548.0,0.6935
4.97091289999662,8.0,2.022857,4788.0,0.5985
5.1207145000080345,8.0,6.663529,3950.0,0.49375
5.280508700001519,8.0,12.49412,4524.0,0.5655
5.420640700001968,8.0,19.8716,3312.0,0.414
5.572446000005584,8.0,27.48706,2517.0,0.314625
5.721551700000418,8.0,34.80504,2452.0,0.3065
5.8725609999964945,8.0,42.24202,2288.0,0.286
6.055885099995066,8.0,0.0,2398.0,0.29975
6.173006600001827,8.0,42.52458,5654.0,0.70675
6.322574999998324,8.0,37.936,6570.0,0.8212501
6.476651599994511,8.0,31.47577,6975.0,0.871875
6.622678200001246,8.0,23.86839,6509.0,0.813625
6.773880100008682,8.0,16.44214,6004.0,0.7505
6.923664400004782,8.0,8.29137,4445.0,0.555625
