time,velocity,angle,resistance
0.0,7.0,21.0,0.0
38.05136470000434,7.0,0.0,0.0
38.602458399996976,7.0,14.0,0.0
38.804944399991655,7.0,21.0,0.0
38.987930399991455,7.0,28.0,0.0
39.175094599995646,7.0,35.0,0.0
39.360497599991504,7.0,42.0,0.0
39.36509110000043,7.0,42.0,0.0
39.86160160000145,7.0,35.0,0.0
40.08242019999307,7.0,28.0,0.0
40.290280000001076,7.0,21.0,0.0
40.49169699999038,7.0,14.0,0.0
40.49621549999574,7.0,14.0,0.0
40.984950500002014,7.0,21.0,0.0
41.198122100002365,7.0,28.0,0.0
41.40220670000417,7.0,35.0,0.0
41.582024100003764,7.0,42.0,0.0
41.586284199991496,7.0,42.0,0.0
42.06630330000189,7.0,35.0,0.0
42.28539550000278,7.0,28.0,0.0
42.4925707999937,7.0,21.0,0.0
42.705399500002386,7.0,14.0,0.0
42.71256469999207,7.0,14.0,0.0
43.18255219999992,7.0,21.0,0.0
43.39629629999399,7.0,28.0,0.0
43.59335429999919,7.0,35.0,0.0
43.78253440000117,7.0,42.0,0.0
43.787386199997854,7.0,42.0,0.0
44.27317210000183,7.0,35.0,0.0
44.49241579999216,7.0,28.0,0.0
44.69817609999154,7.0,21.0,0.0
44.89856210000289,7.0,14.0,0.0
44.90299149999919,7.0,14.0,0.0
45.383030700002564,7.0,21.0,0.0
45.59519629999704,7.0,28.0,0.0
45.80201030000171,7.0,35.0,0.0
45.97704739999608,7.0,42.0,0.0
45.98148190000211,7.0,42.0,0.0
46.47564540000167,7.0,35.0,0.0
46.70561189998989,7.0,28.0,0.0
46.90840679999383,7.0,21.0,0.0
47.105964399990626,7.0,14.0,0.0
47.110539799992694,7.0,14.0,0.0
47.59082969999872,7.0,21.0,0.0
47.79615709999052,7.0,28.0,0.0
47.98906150000403,7.0,35.0,0.0
48.17569550000189,7.0,42.0,0.0
48.1802813999966,7.0,42.0,0.0
48.66634539999359,7.0,35.0,0.0
48.88230620000104,7.0,28.0,0.0
49.08511749999889,7.0,21.0,0.0
49.282850000003236,7.0,14.0,0.0
49.92642019999039,7.0,0.0,0.0
50.4580244999961,7.0,14.0,0.0
50.65068779999274,7.0,21.0,0.0
50.83868610000354,7.0,28.0,0.0
51.02548689999094,7.0,35.0,0.0
51.223374799999874,7.0,42.0,0.0
51.23261379999167,7.0,42.0,0.0
51.710811800003285,7.0,35.0,0.0
51.92983559999266,7.0,28.0,0.0
52.13753389999329,7.0,21.0,0.0
52.335808999996516,7.0,14.0,0.0
52.34026939999603,7.0,14.0,0.0
52.81118639999477,7.0,21.0,0.0
53.024200500003644,7.0,28.0,0.0
53.22171699999308,7.0,35.0,0.0
53.41137429999071,7.0,42.0,0.0
53.41582359999302,7.0,42.0,0.0
53.90137659999891,7.0,35.0,0.0
54.11986839999736,7.0,28.0,0.0
54.32324840000365,7.0,21.0,0.0
54.52175020000141,7.0,14.0,0.0
54.525857300002826,7.0,14.0,0.0
55.01886409999861,7.0,21.0,0.0
55.23377479999908,7.0,28.0,0.0
55.4296192000038,7.0,35.0,0.0
55.61705629999051,7.0,42.0,0.0
55.62177779999911,7.0,42.0,0.0
56.124185799999395,7.0,35.0,0.0
56.34271280000394,7.0,28.0,0.0
56.547509900003206,7.0,21.0,0.0
56.743591099992045,7.0,14.0,0.0
56.74801650000154,7.0,14.0,0.0
57.22573959999136,7.0,21.0,0.0
57.437949600003776,7.0,28.0,0.0
57.63202069999534,7.0,35.0,0.0
57.818350999994436,7.0,42.0,0.0
57.822560300002806,7.0,42.0,0.0
