time,velocity,angle,resistance_raw,pvdf_mv
0.0,8.0,0.0,4674.0,
0.38010629999917,8.0,0.0,5706.0,
0.39141039999958593,8.0,1.672347,5098.0,
0.40113539999583736,8.0,6.271301,3137.0,
0.43117359999450855,8.0,12.66206,4345.0,
0.5800326999888057,8.0,19.7098,3418.0,
0.7317477999895345,8.0,26.93673,3120.0,
0.8875928999914322,8.0,34.28311,2727.0,
1.0354743999923812,8.0,0.0,4070.0,
1.180274999991525,8.0,33.24667,5245.0,
1.3317229999956908,8.0,28.28897,6778.0,
1.4805901999934576,8.0,21.81978,6047.0,
1.6631418999895686,8.0,14.56462,5947.0,
1.7799799999920651,8.0,7.248995,6240.0,
1.9349736000003759,8.0,0.0,6153.0,
2.079821899998933,8.0,2.269614,5537.0,
2.230215399991721,8.0,6.569934,4028.0,
2.379966099993908,8.0,12.84124,4797.0,
2.529666999995243,8.0,19.82926,3950.0,
2.686491099986597,8.0,26.51864,2770.0,
2.829539999991539,8.0,33.68584,3958.0,
2.9851016999891726,8.0,0.06119274,2006.0,
3.130975499996566,8.0,32.46069,6052.0,
3.280957799986936,8.0,27.98667,6142.0,
3.4661236999963876,8.0,21.51749,5493.0,
3.5827447999909054,8.0,14.68554,6403.0,
3.730823699996108,8.0,6.946695,5285.0,
3.8815200999961235,8.0,0.0,6132.0,
4.03671879999456,8.0,0.0,5297.0,
4.180700999990222,8.0,2.269614,4497.0,
4.330493099987507,8.0,6.689387,4056.0,
4.484636999986833,8.0,12.42315,4232.0,
4.630640899995342,8.0,19.4709,4479.0,
4.780965399986599,8.0,26.99646,2865.0,
4.931508099994971,8.0,34.76093,3103.0,
5.087621200000285,8.0,0.0,3048.0,
5.260204899997916,8.0,33.18621,5293.0,
5.383190399996238,8.0,28.10759,6772.0,
5.5332444999949075,8.0,21.39657,5875.0,
5.684536599990679,8.0,13.96002,5878.0,
5.83422539998719,8.0,6.039801,5582.0,
5.991113999989466,8.0,0.0,7029.0,
6.134514699995634,8.0,2.50852,5558.0,
6.288266699993983,8.0,6.749114,4956.0,
6.434816399996635,8.0,12.66206,4675.0,
6.586678699997719,8.0,19.82926,4087.0,
6.734637199988356,8.0,27.41454,3214.0,
6.889837799986708,8.0,0.0,2786.0,
7.060846799999126,8.0,32.46069,5280.0,
7.186671999996179,8.0,27.86576,6868.0,
7.335364599988679,8.0,21.45703,6046.0,
7.487590399992769,8.0,14.02048,5458.0,
7.637262799995369,8.0,6.10026,6852.0,
7.829583999991883,8.0,0.0,4134.0,
7.937356999987969,8.0,1.7918,4318.0,
8.08572039999126,8.0,6.211574,5332.0,
8.23744079998869,8.0,12.72178,3495.0,
8.385694699987653,8.0,19.88898,4748.0,
8.537305499994545,8.0,27.47427,2676.0,
8.685449500000686,8.0,34.40257,2308.0,
8.857000999996671,8.0,0.0,3858.0,
8.985607099995832,8.0,33.00483,6398.0,
9.135811100000865,8.0,27.98667,5914.0,
9.287436999991769,8.0,21.39657,6713.0,
9.435613399997237,8.0,13.8391,5847.0,
9.612550199992256,8.0,6.463018,5719.0,
9.740756099999999,8.0,0.0,6386.0,
9.886599799996475,8.0,2.389067,5327.0,
10.035679099994013,8.0,6.331028,4273.0,
