time,velocity,angle,resistance
0.0,7.0,0.0,0.0
0.004985499996109866,7.0,0.0,0.0
0.14821339999616612,7.0,0.0,0.0
0.287408799995319,7.0,1.0,0.0
0.43494880000071134,7.0,1.0,0.0
0.5888481000001775,7.0,2.0,0.0
0.7356395999959204,7.0,2.0,0.0
0.8887935999955516,7.0,3.0,0.0
1.0358031000068877,7.0,3.0,0.0
1.1873860000050627,7.0,4.0,0.0
1.3356057000055443,7.0,4.0,0.0
1.487149299995508,7.0,5.0,0.0
1.6355373999977019,7.0,5.0,0.0
1.7879823999974178,7.0,6.0,0.0
1.9347390000039013,7.0,6.0,0.0
2.087107900006231,7.0,7.0,0.0
2.234788899993873,7.0,7.0,0.0
2.3881951000075787,7.0,8.0,0.0
2.535571100001107,7.0,8.0,0.0
2.6878912999964086,7.0,9.0,0.0
2.8356770999962464,7.0,9.0,0.0
2.987032699995325,7.0,10.0,0.0
3.1356194999971194,7.0,10.0,0.0
3.2870817000075476,7.0,11.0,0.0
3.43503619999683,7.0,11.0,0.0
3.588424899993697,7.0,12.0,0.0
3.7355478999961633,7.0,12.0,0.0
3.8881197000009706,7.0,13.0,0.0
4.034877900005085,7.0,13.0,0.0
4.187493999997969,7.0,14.0,0.0
4.334738899997319,7.0,14.0,0.0
4.4870153999945614,7.0,15.0,0.0
4.634731600002851,7.0,15.0,0.0
4.787201700004516,7.0,16.0,0.0
4.934677900004317,7.0,16.0,0.0
5.087966199993389,7.0,17.0,0.0
5.234639600006631,7.0,17.0,0.0
5.386935500006075,7.0,18.0,0.0
5.53456549999828,7.0,18.0,0.0
5.687841100007063,7.0,19.0,0.0
5.834646799994516,7.0,19.0,0.0
5.994355899994844,7.0,20.0,0.0
6.142407799998182,7.0,20.0,0.0
6.294106999994256,7.0,21.0,0.0
6.441635199997108,7.0,21.0,0.0
6.595052899996517,7.0,22.0,0.0
6.741688699999941,7.0,22.0,0.0
6.894944300001953,7.0,23.0,0.0
7.042569700002787,7.0,23.0,0.0
7.194811399996979,7.0,24.0,0.0
7.341602700005751,7.0,24.0,0.0
